"","year","area","street","street2","html"
"3337",2012,"birmingham","GillotRoadEdgbaston"," gillot road, edgbaston",""
"3338",2012,"birmingham","GillottRoadEdgbaston"," gillott road, edgbaston",""
"3339",2012,"birmingham","gorsleypiece","gorsley piece",""
"3340",2012,"birmingham","greatparkpublichouserubery"," great park public house, rubery",""
"3341",2012,"birmingham","greatparkrubery","great park rubery",""
"3342",2012,"birmingham","grovellylane","grovelly  lane",""
"3343",2012,"birmingham","HagleyRoad","hagley road",""
"3344",2012,"birmingham","hagleyroad","hagley road",""
"3345",2012,"birmingham","hagleyroad","hagley road",""
"3346",2012,"birmingham","HagleyRoad","hagley road",""
"3347",2012,"birmingham","hagleyroad","hagley road",""
"3348",2012,"birmingham","HagleyRoadBirmingham"," hagley road, birmingham",""
"3349",2012,"birmingham","HagleyRoadEdgbaston"," hagley road, edgbaston",""
"3350",2012,"birmingham","hagleyroadedgbaston"," hagley road, edgbaston",""
"3351",2012,"birmingham","HarborneHallHotelHarborne"," harborne hall, hotel, harborne",""
"3352",2012,"birmingham","harborneparkroad","harborne park road",""
"3353",2012,"birmingham","harbournehighstreet","harbourne high street",""
"3354",2012,"birmingham","HaunchLane","haunch lane",""
"3355",2012,"birmingham","hawkshurstroad","hawkshurst road",""
"3356",2012,"birmingham","HealeyRoadSellyoak"," healey road, selly oak",""
"3357",2012,"birmingham","heatherhousekingsnorton"," heather house, kings norton",""
"3358",2012,"birmingham","heatondrive","heaton drive",""
"3359",2012,"birmingham","hgaleyroad","hgaley road",""
"3360",2012,"birmingham","highstharborne","high st harborne",""
"3361",2012,"birmingham","HighSTHarborne","high st harborne",""
"3362",2012,"birmingham","highstreetharborne","high street harborne",""
"3363",2012,"birmingham","highstreetharborne","high street harborne",""
"3364",2012,"birmingham","highstreetharborne","high street harborne",""
"3365",2012,"birmingham","highstreetharborne","high street harborne",""
"3366",2012,"birmingham","HighStreetHarbourne","high street harbourne",""
"3367",2012,"birmingham","highstreethraborn","high street hraborn",""
"3368",2012,"birmingham","HighStreetHaborne"," high street, haborne",""
"3369",2012,"birmingham","HighStreetharbourne"," high street, harbourne",""
"3370",2012,"birmingham","HillwoodRd","hillwood rd",""
"3371",2012,"birmingham","HindheadRoad","hindhead road",""
"3372",2012,"birmingham","hisghstreetstourbridege","hisgh street stourbridege",""
"3373",2012,"birmingham","hollybankroad","hollybank road",""
"3374",2012,"birmingham","holybankroad","holybank road",""
"3375",2012,"birmingham","houldyroad","houldy road",""
"3376",2012,"birmingham","hubertcroft","hubert croft",""
"3377",2012,"birmingham","HurstStreet","hurst street",""
"3378",2012,"birmingham","jennerslane","jenners lane",""
"3379",2012,"birmingham","jowettslane","jowetts lane",""
"3380",2012,"birmingham","katieroad","katie road",""
"3381",2012,"birmingham","kitwelllane","kitwell lane",""
"3382",2012,"birmingham","LindenRoad","linden road",""
"3383",2012,"birmingham","LindenRoad","linden road",""
"3384",2012,"birmingham","Lofthousecrescent","lofthouse crescent",""
"3385",2012,"birmingham","LongbridgeLane","longbridge lane",""
"3386",2012,"birmingham","lottieroadsellyoak","lottie road selly oak",""
"3387",2012,"birmingham","lynseyavenuenorthfield"," lynsey avenue, northfield",""
"3388",2012,"birmingham","MasshousePH","masshouse ph",""
"3389",2012,"birmingham","Maypolegrove","maypole grove",""
"3390",2012,"birmingham","MerrittsBrookLaneNorthfield"," merritts brook lane, northfield",""
"3391",2012,"birmingham","MetchleyLaneHarborne"," metchley lane, harborne",""
"3392",2012,"birmingham","MetchleyParkRoad","metchley park road",""
"3393",2012,"birmingham","milesroad","miles road",""
"3394",2012,"birmingham","millbrookdrivenorthfield","millbrook drive northfield",""
"3395",2012,"birmingham","milnerroad","milner road",""
"3396",2012,"birmingham","MoorStreet","moor street",""
"3397",2012,"birmingham","MoorStreetRailwayStation","moor street railway station",""
"3398",2012,"birmingham","MorrisonsRubery"," morrisons, rubery",""
"3399",2012,"birmingham","NavigationPubKingsNorton"," navigation pub, kings norton",""
"3400",2012,"birmingham","NewburyLane","newbury lane",""
"3401",2012,"birmingham","norhtfieldhighstreet","norhtfield high street",""
"3402",2012,"birmingham","NorthfieldRoadNorthfield"," northfield road, northfield",""
"3403",2012,"birmingham","OutsideGoosePublichouseBristolRoadSellyOak"," outside goose public house, bristol road, selly oak",""
"3404",2012,"birmingham","ParkWayRubery","park way rubery",""
"3405",2012,"birmingham","parkdaledrive","parkdale drive",""
"3406",2012,"birmingham","PayneStreet","payne street",""
"3407",2012,"birmingham","pershoreroad","pershore road",""
"3408",2012,"birmingham","PershoreRoad","pershore road",""
"3409",2012,"birmingham","pershoreroad","pershore road",""
"3410",2012,"birmingham","pershoreroad","pershore road",""
"3411",2012,"birmingham","pershoreroadcotteridge","pershore road cotteridge",""
"3412",2012,"birmingham","pershoreroadsouth","pershore road south",""
"3413",2012,"birmingham","PiddockRd","piddock rd",""
"3414",2012,"birmingham","PiddockRoadSmethwick","piddock road smethwick",""
"3415",2012,"birmingham","PiddockRoadSmethwick","piddock road smethwick",""
"3416",2012,"birmingham","PiddockRoadSmethwick","piddock road smethwick",""
"3417",2012,"birmingham","PineappleRoad","pineapple road",""
"3418",2012,"birmingham","PremierInnGreatPark"," premier inn, great park",""
"3419",2012,"birmingham","prioryroad","priory road",""
"3420",2012,"birmingham","QEAandEMetchleyparkRoad","q e a and e metchley park road",""
"3421",2012,"birmingham","QEHospital","qe hospital",""
"3422",2012,"birmingham","queenelizabethhospital","queen elizabeth hospital",""
"3423",2012,"birmingham","queenelizabethhospital","queen elizabeth hospital",""
"3424",2012,"birmingham","quintonroad","quinton road",""
"3425",2012,"birmingham","RidgeacreRoad","ridgeacre road",""
"3426",2012,"birmingham","RidgeacreRoad","ridgeacre road",""
"3427",2012,"birmingham","safernakeclose","safernake close",""
"3428",2012,"birmingham","sandonroad","sandon road",""
"3429",2012,"birmingham","SandonRoadEdgbaston"," sandon road, edgbaston",""
"3430",2012,"birmingham","SellyOakRailwayStation","selly oak railway station",""
"3431",2012,"birmingham","SellyOakrailwaystation","selly oak railway station",""
"3432",2012,"birmingham","shannonroad","shannon road",""
"3433",2012,"birmingham","ShenlyLane","shenly lane",""
"3434",2012,"birmingham","sirherbertaustinway","sir herbert austin way",""
"3435",2012,"birmingham","smithyhotelhagleyroad"," smithy hotel, hagley road",""
"3436",2012,"birmingham","SolihullHighStreet","solihull high street",""
"3437",2012,"birmingham","StMarysHospice","st mary's hospice",""
"3438",2012,"birmingham","StonehouseLane","stonehouse lane",""
"3439",2012,"birmingham","stonehousepublichouse","stonehouse public house",""
"3440",2012,"birmingham","stratfordroad","stratford road",""
"3441",2012,"birmingham","thefold","the fold",""
"3442",2012,"birmingham","TheNavigationPublicHouseKingsNorton"," the navigation public house, kings norton",""
"3443",2012,"birmingham","tivertonroad","tiverton road",""
"3444",2012,"birmingham","trittifordroad","trittiford road",""
"3445",2012,"birmingham","universitybirmingham","university birmingham",""
"3446",2012,"birmingham","victoriasteetsmallheath","victoria steet small heath",""
"3447",2012,"birmingham","warehamroad","wareham road",""
"3448",2012,"birmingham","warwickcrest","warwick crest",""
"3449",2012,"birmingham","watfordroadcoteridge","watford road coteridge",""
"3450",2012,"birmingham","wellingtonroad","wellington road",""
